,city,date,review_count
627,Amsterdam,2023-07-29,360
628,Groningen,2023-07-29,105
629,Rotterdam,2023-07-29,298
630,Amsterdam,2023-07-30,348
631,Groningen,2023-07-30,124
632,Rotterdam,2023-07-30,358
633,Amsterdam,2023-07-31,362
634,Groningen,2023-07-31,80
635,Rotterdam,2023-07-31,279
636,Amsterdam,2023-08-01,325
637,Groningen,2023-08-01,85
638,Rotterdam,2023-08-01,235
639,Amsterdam,2023-08-02,344
640,Groningen,2023-08-02,66
641,Rotterdam,2023-08-02,209
642,Amsterdam,2023-08-03,347
643,Groningen,2023-08-03,93
644,Rotterdam,2023-08-03,222
645,Amsterdam,2023-08-04,313
646,Groningen,2023-08-04,108
647,Rotterdam,2023-08-04,267
648,Amsterdam,2023-08-05,335
649,Groningen,2023-08-05,125
650,Rotterdam,2023-08-05,300
651,Amsterdam,2023-08-06,446
652,Groningen,2023-08-06,123
653,Rotterdam,2023-08-06,324
654,Amsterdam,2023-08-07,339
655,Groningen,2023-08-07,86
656,Rotterdam,2023-08-07,234
657,Amsterdam,2023-08-08,294
658,Groningen,2023-08-08,66
659,Rotterdam,2023-08-08,213
660,Amsterdam,2023-08-09,295
661,Groningen,2023-08-09,76
662,Rotterdam,2023-08-09,213
663,Amsterdam,2023-08-10,278
664,Groningen,2023-08-10,83
665,Rotterdam,2023-08-10,188
666,Amsterdam,2023-08-11,325
667,Groningen,2023-08-11,101
668,Rotterdam,2023-08-11,251
669,Amsterdam,2023-08-12,275
670,Groningen,2023-08-12,100
671,Rotterdam,2023-08-12,233
672,Amsterdam,2023-08-13,309
673,Groningen,2023-08-13,109
674,Rotterdam,2023-08-13,289
675,Amsterdam,2023-08-14,310
676,Groningen,2023-08-14,84
677,Rotterdam,2023-08-14,198
678,Amsterdam,2023-08-15,255
679,Groningen,2023-08-15,62
680,Rotterdam,2023-08-15,202
681,Amsterdam,2023-08-16,267
682,Groningen,2023-08-16,65
683,Rotterdam,2023-08-16,204
684,Amsterdam,2023-08-17,259
685,Groningen,2023-08-17,84
686,Rotterdam,2023-08-17,218
687,Amsterdam,2023-08-18,297
688,Groningen,2023-08-18,79
689,Rotterdam,2023-08-18,273
690,Amsterdam,2023-08-19,277
691,Groningen,2023-08-19,114
692,Rotterdam,2023-08-19,234
693,Amsterdam,2023-08-20,285
694,Groningen,2023-08-20,85
695,Rotterdam,2023-08-20,263
696,Amsterdam,2023-08-21,313
697,Groningen,2023-08-21,71
698,Rotterdam,2023-08-21,215
699,Amsterdam,2023-08-22,247
700,Groningen,2023-08-22,74
701,Rotterdam,2023-08-22,219
702,Amsterdam,2023-08-23,255
703,Groningen,2023-08-23,96
704,Rotterdam,2023-08-23,181
705,Amsterdam,2023-08-24,278
706,Groningen,2023-08-24,92
707,Rotterdam,2023-08-24,215
708,Amsterdam,2023-08-25,329
709,Groningen,2023-08-25,106
710,Rotterdam,2023-08-25,260
711,Amsterdam,2023-08-26,335
712,Groningen,2023-08-26,86
713,Rotterdam,2023-08-26,270
714,Amsterdam,2023-08-27,360
715,Groningen,2023-08-27,113
716,Rotterdam,2023-08-27,305
717,Amsterdam,2023-08-28,272
718,Groningen,2023-08-28,93
719,Rotterdam,2023-08-28,237
720,Amsterdam,2023-08-29,265
721,Groningen,2023-08-29,81
722,Rotterdam,2023-08-29,185
723,Amsterdam,2023-08-30,264
724,Groningen,2023-08-30,91
725,Rotterdam,2023-08-30,210
726,Amsterdam,2023-08-31,294
727,Groningen,2023-08-31,106
